,N,E,Directed?,Weighted?,alpha_f_PR,alpha_r_PR,beta_r_BPR,Type
Random_1010_0.0029702970297029703_5,1010,3064,True,False,0.000741,0.218978,0.3175,Random
Random_1010_0.0029702970297029703_6,1010,3096,True,False,0.000337,0.221753,0.3335,Random
Random_1010_0.0029702970297029703_7,1010,3054,True,False,0.000198,0.277136,0.3515,Random
Random_1010_0.0029702970297029703_8,1010,3009,True,False,0.00088,0.27907,0.3645,Random
Random_1010_0.0029702970297029703_9,1010,2987,True,False,0.000114,0.234768,0.3345,Random
Random_1010_0.0049504950495049506_0,1010,5150,True,False,3.7e-05,0.376794,0.4265,Random
Random_1010_0.0049504950495049506_1,1010,5117,True,False,0.000898,0.295463,0.3785,Random
Random_1010_0.0049504950495049506_2,1010,5013,True,False,0.00057,0.247861,0.3515,Random
Random_1010_0.0049504950495049506_3,1010,5022,True,False,0.000745,0.314843,0.3965,Random
Random_1010_0.0049504950495049506_4,1010,5149,True,False,0.000773,0.27326,0.3595,Random
Random_1010_0.0049504950495049506_5,1010,4966,True,False,9.2e-05,0.22955,0.3225,Random
Random_1010_0.0049504950495049506_6,1010,5069,True,False,6.5e-05,0.307205,0.3615,Random
Random_1010_0.0049504950495049506_7,1010,5037,True,False,0.000929,0.284939,0.3665,Random
Random_1010_0.0049504950495049506_8,1010,5075,True,False,0.000181,0.300286,0.3665,Random
Random_1010_0.0049504950495049506_9,1010,4827,True,False,0.000326,0.284197,0.3965,Random
Random_2010_0.0014925373134328358_0,2010,6085,True,False,0.000845,0.224719,0.3215,Random
Random_2010_0.0014925373134328358_1,2010,6015,True,False,0.000664,0.208696,0.3115,Random
Random_2010_0.0014925373134328358_2,2010,6068,True,False,0.000741,0.236531,0.3355,Random
Random_2010_0.0014925373134328358_3,2010,6168,True,False,0.000957,0.244898,0.3315,Random
Random_2010_0.0014925373134328358_4,2010,6021,True,False,0.000583,0.238095,0.3105,Random
Random_2010_0.0014925373134328358_5,2010,5977,True,False,0.000326,0.264317,0.3515,Random
Random_2010_0.0014925373134328358_6,2010,6015,True,False,8.7e-05,0.238095,0.3285,Random
Random_2010_0.0014925373134328358_7,2010,5966,True,False,1.4e-05,0.222222,0.3295,Random
Random_2010_0.0014925373134328358_8,2010,6090,True,False,0.000575,0.233463,0.3405,Random
Random_2010_0.0014925373134328358_9,2010,5935,True,False,0.000615,0.234768,0.3355,Random
Random_2010_0.0024875621890547263_0,2010,10004,True,False,0.000718,0.248176,0.3345,Random
Random_2010_0.0024875621890547263_1,2010,10298,True,False,0.000635,0.304974,0.3955,Random
Random_2010_0.0024875621890547263_2,2010,10037,True,False,0.000826,0.25974,0.3565,Random
Random_2010_0.0024875621890547263_3,2010,9938,True,False,0.000151,0.295463,0.3755,Random
Random_2010_0.0024875621890547263_4,2010,9923,True,False,0.00034,0.277778,0.3655,Random
Random_2010_0.0024875621890547263_5,2010,10006,True,False,0.000201,0.297556,0.3745,Random
Random_2010_0.0024875621890547263_6,2010,10022,True,False,0.000847,0.30179,0.3755,Random
Random_2010_0.0024875621890547263_7,2010,10179,True,False,0.000127,0.26465,0.3625,Random
Random_2010_0.0024875621890547263_8,2010,10198,True,False,0.000689,0.275019,0.3695,Random
Random_2010_0.0024875621890547263_9,2010,10044,True,False,0.000167,0.312772,0.3725,Random
Random_3010_0.0009966777408637873_0,3010,9039,True,False,0.000685,0.233463,0.3215,Random
Random_3010_0.0009966777408637873_1,3010,8877,True,False,0.000693,0.214286,0.3115,Random
Random_3010_0.0009966777408637873_2,3010,9097,True,False,5.5e-05,0.254237,0.3205,Random
Random_3010_0.0009966777408637873_3,3010,9053,True,False,1.9e-05,0.211516,0.3045,Random
Random_3010_0.0009966777408637873_4,3010,9079,True,False,0.000205,0.237557,0.3165,Random
Random_3010_0.0009966777408637873_5,3010,9027,True,False,0.000867,0.218182,0.3175,Random
Random_3010_0.0009966777408637873_6,3010,9229,True,False,0.000742,0.253165,0.3335,Random
Random_3010_0.0009966777408637873_7,3010,9007,True,False,0.000456,0.222222,0.3185,Random
Random_3010_0.0009966777408637873_8,3010,9096,True,False,0.000802,0.241379,0.3395,Random
Random_3010_0.0009966777408637873_9,3010,8786,True,False,0.000978,0.264317,0.3255,Random
Random_3010_0.0016611295681063123_0,3010,14958,True,False,0.000522,0.27833,0.3555,Random
Random_3010_0.0016611295681063123_1,3010,15163,True,False,0.000312,0.262993,0.3465,Random
Random_3010_0.0016611295681063123_2,3010,14906,True,False,0.000676,0.299786,0.3745,Random
Random_3010_0.0016611295681063123_3,3010,15173,True,False,0.000197,0.296546,0.3665,Random
Random_3010_0.0016611295681063123_4,3010,15249,True,False,0.000207,0.289755,0.3835,Random
Random_3010_0.0016611295681063123_5,3010,15169,True,False,0.000502,0.264287,0.3515,Random
Random_3010_0.0016611295681063123_6,3010,14952,True,False,0.00056,0.309811,0.3675,Random
Random_3010_0.0016611295681063123_7,3010,14857,True,False,0.000568,0.291869,0.3605,Random
Random_3010_0.0016611295681063123_8,3010,14909,True,False,0.000239,0.293296,0.3605,Random
Random_3010_0.0016611295681063123_9,3010,15199,True,False,1.1e-05,0.28169,0.3685,Random
Random_4010_0.0007481296758104738_0,4010,12061,True,False,0.000254,0.215385,0.3175,Random
Random_4010_0.0007481296758104738_1,4010,11847,True,False,0.000675,0.192308,0.2955,Random
Random_4010_0.0007481296758104738_2,4010,12062,True,False,0.000697,0.216495,0.3025,Random
Random_4010_0.0007481296758104738_3,4010,12105,True,False,0.000554,0.258621,0.3275,Random
Random_4010_0.0007481296758104738_4,4010,12002,True,False,0.000354,0.206186,0.3155,Random
Random_4010_0.0007481296758104738_5,4010,12224,True,False,0.000597,0.204082,0.3185,Random
Random_4010_0.0007481296758104738_6,4010,12167,True,False,7.9e-05,0.21164,0.3085,Random
Random_4010_0.0007481296758104738_7,4010,12228,True,False,0.000108,0.20202,0.3115,Random
Random_4010_0.0007481296758104738_8,4010,12180,True,False,0.00094,0.205479,0.3125,Random
Random_4010_0.0007481296758104738_9,4010,11855,True,False,0.000669,0.230769,0.3275,Random
Random_4010_0.0012468827930174563_0,4010,19898,True,False,0.000336,0.275139,0.3595,Random
Random_4010_0.0012468827930174563_1,4010,20085,True,False,0.000543,0.299818,0.3655,Random
Random_4010_0.0012468827930174563_2,4010,19840,True,False,0.000928,0.302158,0.3865,Random
Random_4010_0.0012468827930174563_3,4010,19788,True,False,5.1e-05,0.266977,0.3595,Random
Random_4010_0.0012468827930174563_4,4010,20081,True,False,0.000444,0.259313,0.3515,Random
Random_4010_0.0012468827930174563_5,4010,19912,True,False,0.000633,0.293706,0.3785,Random
Random_4010_0.0012468827930174563_6,4010,19901,True,False,0.00093,0.290222,0.3505,Random
Random_4010_0.0012468827930174563_7,4010,19932,True,False,0.000255,0.292983,0.3755,Random
Random_4010_0.0012468827930174563_8,4010,19716,True,False,0.000194,0.230347,0.3295,Random
Random_4010_0.0012468827930174563_9,4010,19791,True,False,0.00084,0.257695,0.3575,Random
Random_5010_0.0005988023952095808_0,5010,15133,True,False,0.000747,0.214286,0.2995,Random
Random_5010_0.0005988023952095808_1,5010,15142,True,False,0.000493,0.229008,0.3305,Random
Random_5010_0.0005988023952095808_2,5010,15045,True,False,0.000696,0.212766,0.3125,Random
Random_5010_0.0005988023952095808_3,5010,14970,True,False,0.000191,0.207921,0.3125,Random
Random_5010_0.0005988023952095808_4,5010,15039,True,False,4.6e-05,0.210526,0.3145,Random
Random_5010_0.0005988023952095808_5,5010,15058,True,False,0.000518,0.216161,0.3215,Random
Random_5010_0.0005988023952095808_6,5010,15195,True,False,0.000285,0.23166,0.3175,Random
Random_5010_0.0005988023952095808_7,5010,14819,True,False,0.000553,0.218978,0.3315,Random
Random_5010_0.0005988023952095808_8,5010,14983,True,False,0.000532,0.235294,0.3235,Random
Random_5010_0.0005988023952095808_9,5010,14978,True,False,8.5e-05,0.218182,0.3245,Random
Random_5010_0.000998003992015968_0,5010,24900,True,False,0.000117,0.280624,0.3555,Random
Random_5010_0.000998003992015968_1,5010,25164,True,False,0.000518,0.247715,0.3365,Random
Random_5010_0.000998003992015968_2,5010,25140,True,False,0.000871,0.25248,0.3615,Random
Random_5010_0.000998003992015968_3,5010,24823,True,False,0.000703,0.28404,0.3665,Random
Random_5010_0.000998003992015968_4,5010,25196,True,False,0.000702,0.267091,0.3455,Random
Random_5010_0.000998003992015968_5,5010,25098,True,False,0.000809,0.243761,0.3415,Random
Random_5010_0.000998003992015968_6,5010,25052,True,False,0.000816,0.273141,0.3695,Random
Random_5010_0.000998003992015968_7,5010,25094,True,False,0.000156,0.302921,0.3805,Random
Random_5010_0.000998003992015968_8,5010,25149,True,False,0.000214,0.277778,0.3505,Random
Random_5010_0.000998003992015968_9,5010,24953,True,False,0.000183,0.255319,0.3475,Random
Random_6010_0.0004991680532445924_0,6010,17939,True,False,0.00017,0.210526,0.3175,Random
Random_6010_0.0004991680532445924_1,6010,17863,True,False,0.000449,0.214286,0.3185,Random
Random_6010_0.0004991680532445924_2,6010,17992,True,False,0.000503,0.190476,0.2885,Random
Random_6010_0.0004991680532445924_3,6010,17854,True,False,0.000441,0.212766,0.3065,Random
Random_6010_0.0004991680532445924_4,6010,18143,True,False,0.000855,0.222222,0.3135,Random
Random_6010_0.0004991680532445924_5,6010,18038,True,False,0.000258,0.212766,0.3245,Random
Random_6010_0.0004991680532445924_6,6010,18143,True,False,7.9e-05,0.230769,0.3255,Random
Random_6010_0.0004991680532445924_7,6010,18225,True,False,0.00059,0.209059,0.3025,Random
Random_6010_0.0004991680532445924_8,6010,17814,True,False,0.000631,0.215385,0.3075,Random
Random_6010_0.0004991680532445924_9,6010,17997,True,False,0.000551,0.189274,0.2895,Random
Random_6010_0.0008319467554076539_0,6010,29857,True,False,3.7e-05,0.263103,0.3425,Random
Random_6010_0.0008319467554076539_1,6010,30325,True,False,0.000273,0.298791,0.3695,Random
Random_6010_0.0008319467554076539_2,6010,29898,True,False,6.1e-05,0.286885,0.3655,Random
Random_6010_0.0008319467554076539_3,6010,29840,True,False,0.000462,0.298932,0.3735,Random
Random_6010_0.0008319467554076539_4,6010,30089,True,False,0.000974,0.264317,0.3555,Random
Random_6010_0.0008319467554076539_5,6010,30003,True,False,1.7e-05,0.283525,0.3535,Random
Random_6010_0.0008319467554076539_6,6010,30125,True,False,0.000363,0.286755,0.3695,Random
Random_6010_0.0008319467554076539_7,6010,30256,True,False,5.5e-05,0.284264,0.3685,Random
Random_6010_0.0008319467554076539_8,6010,30163,True,False,0.000427,0.231786,0.3265,Random
Random_6010_0.0008319467554076539_9,6010,29771,True,False,0.000958,0.270183,0.3395,Random
Random_7010_0.00042796005706134097_0,7010,21023,True,False,0.000621,0.213849,0.3135,Random
Random_7010_0.00042796005706134097_1,7010,20945,True,False,0.000377,0.212766,0.3155,Random
Random_7010_0.00042796005706134097_2,7010,21116,True,False,0.000853,0.20339,0.3005,Random
Random_7010_0.00042796005706134097_3,7010,20893,True,False,0.000694,0.230769,0.3235,Random
Random_7010_0.00042796005706134097_4,7010,21028,True,False,0.000326,0.227642,0.3245,Random
Random_7010_0.00042796005706134097_5,7010,20929,True,False,0.000763,0.186916,0.2925,Random
Random_7010_0.00042796005706134097_6,7010,21246,True,False,0.000489,0.220588,0.3145,Random
Random_7010_0.00042796005706134097_7,7010,20815,True,False,0.000454,0.222222,0.3205,Random
Random_7010_0.00042796005706134097_8,7010,21150,True,False,0.000762,0.226415,0.3175,Random
Random_7010_0.00042796005706134097_9,7010,20869,True,False,0.000893,0.216161,0.3045,Random
Random_7010_0.0007132667617689016_0,7010,35222,True,False,0.000628,0.227273,0.3185,Random
Random_7010_0.0007132667617689016_1,7010,34860,True,False,0.000958,0.234264,0.3445,Random
Random_7010_0.0007132667617689016_2,7010,35189,True,False,0.00092,0.238343,0.3445,Random
Random_7010_0.0007132667617689016_3,7010,35018,True,False,0.000648,0.260223,0.3565,Random
Random_7010_0.0007132667617689016_4,7010,34918,True,False,0.000343,0.236842,0.3295,Random
Random_7010_0.0007132667617689016_5,7010,35105,True,False,0.000216,0.274151,0.3665,Random
Random_7010_0.0007132667617689016_6,7010,34914,True,False,0.000705,0.233636,0.3255,Random
Random_7010_0.0007132667617689016_7,7010,34868,True,False,0.000336,0.25677,0.3475,Random
Random_7010_0.0007132667617689016_8,7010,35197,True,False,0.000857,0.294496,0.3675,Random
Random_7010_0.0007132667617689016_9,7010,35137,True,False,0.000925,0.276407,0.3625,Random
Random_8010_0.0003745318352059925_0,8010,24006,True,False,0.000298,0.209685,0.3045,Random
Random_8010_0.0003745318352059925_1,8010,23897,True,False,0.000857,0.212766,0.3175,Random
Random_8010_0.0003745318352059925_2,8010,24149,True,False,0.000442,0.20649,0.2985,Random
Random_8010_0.0003745318352059925_3,8010,23817,True,False,0.000106,0.209059,0.2915,Random
Random_8010_0.0003745318352059925_4,8010,23803,True,False,0.000188,0.181504,0.2995,Random
Random_8010_0.0003745318352059925_5,8010,23848,True,False,0.00053,0.192308,0.3005,Random
Random_8010_0.0003745318352059925_6,8010,24292,True,False,0.000418,0.226843,0.3285,Random
Random_8010_0.0003745318352059925_7,8010,23716,True,False,0.000109,0.206897,0.3005,Random
Random_8010_0.0003745318352059925_8,8010,23885,True,False,0.000678,0.191083,0.3015,Random
Random_8010_0.0003745318352059925_9,8010,23954,True,False,0.000664,0.182609,0.2785,Random
Random_8010_0.0006242197253433209_0,8010,39683,True,False,1.4e-05,0.251397,0.3455,Random
Random_8010_0.0006242197253433209_1,8010,40118,True,False,0.000461,0.247204,0.3465,Random
Random_8010_0.0006242197253433209_2,8010,40357,True,False,0.000223,0.271727,0.3775,Random
Random_8010_0.0006242197253433209_3,8010,39902,True,False,0.000278,0.203686,0.3075,Random
Random_8010_0.0006242197253433209_4,8010,40304,True,False,0.000261,0.2606,0.3415,Random
Random_8010_0.0006242197253433209_5,8010,39841,True,False,0.000363,0.281596,0.3625,Random
Random_8010_0.0006242197253433209_6,8010,40168,True,False,0.00068,0.292683,0.3655,Random
Random_8010_0.0006242197253433209_7,8010,40311,True,False,0.000139,0.26949,0.3665,Random
Random_8010_0.0006242197253433209_8,8010,39771,True,False,0.000204,0.270096,0.3665,Random
Random_8010_0.0006242197253433209_9,8010,39954,True,False,0.000758,0.241982,0.3325,Random
Random_9010_0.0003329633740288568_0,9010,26852,True,False,0.0004,0.205479,0.3115,Random
Random_9010_0.0003329633740288568_1,9010,27193,True,False,0.000108,0.2,0.3075,Random
Random_9010_0.0003329633740288568_2,9010,27162,True,False,0.00054,0.210526,0.3095,Random
Random_9010_0.0003329633740288568_3,9010,27030,True,False,0.000268,0.17192,0.2945,Random
Random_9010_0.0003329633740288568_4,9010,27035,True,False,0.000496,0.186335,0.3075,Random
Random_9010_0.0003329633740288568_5,9010,27058,True,False,0.000633,0.222222,0.3195,Random
Random_9010_0.0003329633740288568_6,9010,26901,True,False,0.000274,0.223404,0.3165,Random
Random_9010_0.0003329633740288568_7,9010,27033,True,False,0.000898,0.23166,0.3125,Random
Random_9010_0.0003329633740288568_8,9010,27162,True,False,0.00045,0.210105,0.3125,Random
Random_9010_0.0003329633740288568_9,9010,27098,True,False,0.00011,0.200573,0.3005,Random
Random_9010_0.0005549389567147614_0,9010,45039,True,False,0.000337,0.28169,0.3745,Random
Random_9010_0.0005549389567147614_1,9010,45082,True,False,0.000893,0.266667,0.3645,Random
Random_9010_0.0005549389567147614_2,9010,44735,True,False,0.000238,0.262009,0.3485,Random
Random_9010_0.0005549389567147614_3,9010,45055,True,False,0.000995,0.258913,0.3385,Random
Random_9010_0.0005549389567147614_4,9010,44961,True,False,0.00017,0.274301,0.3495,Random
Random_9010_0.0005549389567147614_5,9010,44813,True,False,0.000291,0.276316,0.3665,Random
Random_9010_0.0005549389567147614_6,9010,44842,True,False,0.000975,0.244257,0.3375,Random
Random_9010_0.0005549389567147614_7,9010,45138,True,False,0.000862,0.281318,0.3715,Random
Random_9010_0.0005549389567147614_8,9010,45010,True,False,0.000209,0.258065,0.3585,Random
Random_9010_0.0005549389567147614_9,9010,45222,True,False,0.000619,0.270793,0.3605,Random
Random_10010_0.0002997002997002997_0,10010,30109,True,False,0.000878,0.209059,0.3155,Random
Random_10010_0.0002997002997002997_1,10010,29652,True,False,0.000839,0.224719,0.3165,Random
Random_10010_0.0002997002997002997_2,10010,29928,True,False,0.000585,0.193192,0.3145,Random
Random_10010_0.0002997002997002997_3,10010,30065,True,False,0.000171,0.229008,0.3165,Random
Random_10010_0.0002997002997002997_4,10010,29715,True,False,0.000301,0.165746,0.2775,Random
Random_10010_0.0002997002997002997_5,10010,29591,True,False,0.000501,0.212766,0.3155,Random
Random_10010_0.0002997002997002997_6,10010,29971,True,False,5.5e-05,0.195122,0.3075,Random
Random_10010_0.0002997002997002997_7,10010,29907,True,False,6e-05,0.166403,0.2845,Random
Random_10010_0.0002997002997002997_8,10010,30221,True,False,0.000542,0.197368,0.2895,Random
Random_10010_0.0002997002997002997_9,10010,29897,True,False,0.000548,0.20438,0.3155,Random
Random_10010_0.0004995004995004995_0,10010,50254,True,False,0.000651,0.240803,0.3315,Random
Random_10010_0.0004995004995004995_1,10010,49820,True,False,7.9e-05,0.254417,0.3505,Random
Random_10010_0.0004995004995004995_2,10010,50194,True,False,0.000933,0.280843,0.3585,Random
Random_10010_0.0004995004995004995_3,10010,49909,True,False,6e-06,0.217335,0.3225,Random
Random_10010_0.0004995004995004995_4,10010,50074,True,False,0.000551,0.204562,0.3035,Random
Random_10010_0.0004995004995004995_5,10010,49964,True,False,0.000641,0.259206,0.3595,Random
Random_10010_0.0004995004995004995_6,10010,50094,True,False,0.000731,0.250447,0.3335,Random
Random_10010_0.0004995004995004995_7,10010,50220,True,False,0.000614,0.241472,0.3365,Random
Random_10010_0.0004995004995004995_8,10010,50159,True,False,0.000523,0.261764,0.3595,Random
Random_10010_0.0004995004995004995_9,10010,49936,True,False,0.000831,0.226782,0.3355,Random
Random_11010_0.00027247956403269756_0,11010,33252,True,False,0.000815,0.20202,0.3105,Random
Random_11010_0.00027247956403269756_1,11010,33116,True,False,0.000518,0.2,0.3095,Random
Random_11010_0.00027247956403269756_2,11010,32841,True,False,0.000417,0.193548,0.2945,Random
Random_11010_0.00027247956403269756_3,11010,33187,True,False,0.000211,0.190476,0.3055,Random
Random_11010_0.00027247956403269756_4,11010,32827,True,False,0.000273,0.193548,0.3045,Random
Random_11010_0.00027247956403269756_5,11010,33100,True,False,0.000943,0.179104,0.2845,Random
Random_11010_0.00027247956403269756_6,11010,33203,True,False,0.000311,0.185185,0.3075,Random
Random_11010_0.00027247956403269756_7,11010,32920,True,False,0.000182,0.176471,0.2795,Random
Random_11010_0.00027247956403269756_8,11010,33047,True,False,0.000768,0.215385,0.3195,Random
Random_11010_0.00027247956403269756_9,11010,32859,True,False,0.000271,0.20438,0.2975,Random
Random_11010_0.00045413260672116256_0,11010,54786,True,False,0.0003,0.239703,0.3325,Random
Random_11010_0.00045413260672116256_1,11010,55069,True,False,6.4e-05,0.276195,0.3625,Random
Random_11010_0.00045413260672116256_2,11010,54626,True,False,0.000549,0.254209,0.3495,Random
Random_11010_0.00045413260672116256_3,11010,54902,True,False,0.000998,0.285974,0.3655,Random
Random_11010_0.00045413260672116256_4,11010,54951,True,False,0.000531,0.253623,0.3555,Random
Random_11010_0.00045413260672116256_5,11010,55332,True,False,0.000269,0.270677,0.3585,Random
Random_11010_0.00045413260672116256_6,11010,55177,True,False,0.000871,0.278761,0.3565,Random
Random_11010_0.00045413260672116256_7,11010,54928,True,False,0.000373,0.260883,0.3535,Random
Random_11010_0.00045413260672116256_8,11010,55536,True,False,0.000112,0.262418,0.3515,Random
Random_11010_0.00045413260672116256_9,11010,54783,True,False,0.000912,0.231254,0.3325,Random
Random_12010_0.0002497918401332223_0,12010,35996,True,False,0.000832,0.197368,0.2855,Random
Random_12010_0.0002497918401332223_1,12010,35655,True,False,0.000229,0.1849,0.2815,Random
Random_12010_0.0002497918401332223_2,12010,36045,True,False,0.000735,0.171429,0.2775,Random
Random_12010_0.0002497918401332223_3,12010,36092,True,False,0.000318,0.208333,0.3055,Random
Random_12010_0.0002497918401332223_4,12010,36200,True,False,0.000632,0.218182,0.2955,Random
Random_12010_0.0002497918401332223_5,12010,36281,True,False,0.000737,0.226415,0.3285,Random
Random_12010_0.0002497918401332223_6,12010,35923,True,False,0.00026,0.194175,0.3035,Random
Random_12010_0.0002497918401332223_7,12010,36056,True,False,0.000955,0.214944,0.3105,Random
Random_12010_0.0002497918401332223_8,12010,36301,True,False,0.000731,0.219321,0.3125,Random
Random_12010_0.0002497918401332223_9,12010,36071,True,False,0.000816,0.198675,0.2975,Random
Random_12010_0.00041631973355537054_0,12010,60023,True,False,0.000288,0.23569,0.3255,Random
Random_12010_0.00041631973355537054_1,12010,59763,True,False,0.00014,0.265456,0.3425,Random
Random_12010_0.00041631973355537054_2,12010,59644,True,False,0.000321,0.230558,0.3255,Random
Random_12010_0.00041631973355537054_3,12010,60341,True,False,0.000201,0.277594,0.3625,Random
Random_12010_0.00041631973355537054_4,12010,60102,True,False,6.7e-05,0.264734,0.3615,Random
Random_12010_0.00041631973355537054_5,12010,59888,True,False,0.000787,0.22001,0.3165,Random
Random_12010_0.00041631973355537054_6,12010,60056,True,False,0.000683,0.23514,0.3195,Random
Random_12010_0.00041631973355537054_7,12010,60202,True,False,0.000785,0.266075,0.3495,Random
Random_12010_0.00041631973355537054_8,12010,59889,True,False,2e-05,0.242354,0.3275,Random
Random_12010_0.00041631973355537054_9,12010,60005,True,False,0.000847,0.273794,0.3625,Random
Random_13010_0.00023059185242121444_0,13010,38881,True,False,0.000136,0.206897,0.3145,Random
Random_13010_0.00023059185242121444_1,13010,38776,True,False,0.000626,0.20202,0.3075,Random
Random_13010_0.00023059185242121444_2,13010,39072,True,False,0.000158,0.209059,0.3135,Random
Random_13010_0.00023059185242121444_3,13010,39055,True,False,0.000214,0.179641,0.2925,Random
Random_13010_0.00023059185242121444_4,13010,38916,True,False,3e-05,0.19544,0.3035,Random
Random_13010_0.00023059185242121444_5,13010,39127,True,False,0.000203,0.212336,0.3175,Random
Random_13010_0.00023059185242121444_6,13010,39021,True,False,0.000996,0.1983,0.3125,Random
Random_13010_0.00023059185242121444_7,13010,38974,True,False,0.000131,0.177215,0.3055,Random
Random_13010_0.00023059185242121444_8,13010,39275,True,False,0.000371,0.1875,0.3015,Random
Random_13010_0.00023059185242121444_9,13010,38859,True,False,0.000455,0.168067,0.2885,Random
Random_13010_0.0003843197540353574_0,13010,64995,True,False,0.000697,0.248276,0.3445,Random
Random_13010_0.0003843197540353574_1,13010,65406,True,False,0.000264,0.240481,0.3435,Random
Random_13010_0.0003843197540353574_2,13010,64799,True,False,0.000216,0.254083,0.3585,Random
Random_13010_0.0003843197540353574_3,13010,65124,True,False,0.00073,0.288726,0.3675,Random
Random_13010_0.0003843197540353574_4,13010,64199,True,False,0.000923,0.226986,0.3265,Random
Random_13010_0.0003843197540353574_5,13010,65108,True,False,0.000895,0.266977,0.3555,Random
Random_13010_0.0003843197540353574_6,13010,65235,True,False,0.000376,0.281501,0.3495,Random
Random_13010_0.0003843197540353574_7,13010,64993,True,False,0.0003,0.258148,0.3485,Random
Random_13010_0.0003843197540353574_8,13010,64823,True,False,0.000325,0.214231,0.3195,Random
Random_13010_0.0003843197540353574_9,13010,65140,True,False,0.000435,0.241541,0.3465,Random
Random_14010_0.00021413276231263382_0,14010,42222,True,False,0.000132,0.184291,0.2965,Random
Random_14010_0.00021413276231263382_1,14010,42248,True,False,0.000471,0.181818,0.2965,Random
Random_14010_0.00021413276231263382_2,14010,42126,True,False,0.000419,0.220126,0.3115,Random
Random_14010_0.00021413276231263382_3,14010,42173,True,False,0.000451,0.197368,0.3125,Random
Random_14010_0.00021413276231263382_4,14010,42022,True,False,0.000713,0.198675,0.3145,Random
Random_14010_0.00021413276231263382_5,14010,41864,True,False,0.000305,0.183166,0.2915,Random
Random_14010_0.00021413276231263382_6,14010,41680,True,False,0.000605,0.162162,0.2835,Random
Random_14010_0.00021413276231263382_7,14010,41944,True,False,0.00019,0.200957,0.2925,Random
Random_14010_0.00021413276231263382_8,14010,42251,True,False,0.000532,0.194444,0.2905,Random
Random_14010_0.00021413276231263382_9,14010,42046,True,False,0.000338,0.180723,0.2955,Random
Random_14010_0.00035688793718772306_0,14010,70424,True,False,0.000243,0.275049,0.3515,Random
Random_14010_0.00035688793718772306_1,14010,69639,True,False,6.5e-05,0.243502,0.3385,Random
Random_14010_0.00035688793718772306_2,14010,70180,True,False,0.0003,0.266497,0.3615,Random
Random_14010_0.00035688793718772306_3,14010,70239,True,False,0.000858,0.197647,0.3115,Random
Random_14010_0.00035688793718772306_4,14010,70092,True,False,0.000759,0.219188,0.3235,Random
Random_14010_0.00035688793718772306_5,14010,70327,True,False,0.000644,0.270706,0.3495,Random
Random_14010_0.00035688793718772306_6,14010,69943,True,False,0.000606,0.239044,0.3325,Random
Random_14010_0.00035688793718772306_7,14010,69899,True,False,0.000889,0.254468,0.3485,Random
Random_14010_0.00035688793718772306_8,14010,69954,True,False,5.9e-05,0.217013,0.3275,Random
Random_14010_0.00035688793718772306_9,14010,69487,True,False,0.00058,0.221266,0.3115,Random
Random_15010_0.00019986675549633578_0,15010,45039,True,False,0.000218,0.192308,0.3055,Random
Random_15010_0.00019986675549633578_1,15010,45426,True,False,7e-05,0.181818,0.2905,Random
Random_15010_0.00019986675549633578_2,15010,45144,True,False,0.000432,0.182094,0.2885,Random
Random_15010_0.00019986675549633578_3,15010,45252,True,False,0.000234,0.173913,0.2785,Random
Random_15010_0.00019986675549633578_4,15010,44837,True,False,0.000834,0.202247,0.3045,Random
